№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
57,31167287,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ СОФІЇВСЬКОГО ГРУПОВОГО ВОДОПРОВОДУ""","53800 ДНІПРОПЕТРОВСЬКА ОБЛ., АПОСТОЛІВСЬКИЙ Р-Н, М.АПОСТОЛОВЕ, ВУЛ.ВИЗВОЛЕННЯ, БУД. 66",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,75
58,23361054,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ П'ЯТИХАТСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"52100 ДНІПРОПЕТРОВСЬКА ОБЛ., П'ЯТИХАТСЬКИЙ Р-Н, М.П'ЯТИХАТКИ, ВУЛ.МАМОНА, БУД. 122",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,6
59,03564045,"ДЕРЖАВНЕ МІЖРАЙОННЕ ПІДПРИЄМСТВО ВОДОПРОВІДНО-КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА ""ДНІПРО-ЗАХІДНИЙ ДОНБАС""","52521 ДНІПРОПЕТРОВСЬКА ОБЛ., СИНЕЛЬНИКІВСЬКИЙ Р-Н, С.ВОРОНОВЕ, ВУЛ.ДНІПРОВСЬКА, БУД. 28",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,199
60,25914126,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ЦАРИЧАНСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"51000 ДНІПРОПЕТРОВСЬКА ОБЛ., ЦАРИЧАНСЬКИЙ Р-Н, СМТ ЦАРИЧАНКА, ВУЛ.ТЕАТРАЛЬНА, БУД. 14",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
61,03494578,ДЕРЖАВНИЙ АРХІВ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,"49069 М.ДНІПРО, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.МИХАЙЛА ГРУШЕВСЬКОГО, БУД. 89",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,3
62,25841551,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ТОМАКІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53500 ДНІПРОПЕТРОВСЬКА ОБЛ., ТОМАКІВСЬКИЙ Р-Н, СМТ ТОМАКІВКА, ВУЛ.ЛЕСІ УКРАЇНКИ, БУД. 46",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
63,05246852,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ПО ВИПРОБУВАННЮ БУДІВЕЛЬНИХ МАТЕРІАЛІВ""","49081 М.ДНІПРО, АМУР-НИЖНЬОДНІПРОВСЬКИЙ Р-Н, ПРОСП.СЛОБОЖАНСЬКИЙ, БУД. 3",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,3
64,00730448,"ВІДДІЛ АГРОПРОМИСЛОВОГО, ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ СОФІЇВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","53100 ДНІПРОПЕТРОВСЬКА ОБЛ., СОФІЇВСЬКИЙ Р-Н, СМТ СОФІЇВКА, ВУЛ.ШКІЛЬНА, БУД. 7",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
65,25927353,УПРАВЛІННЯ АГРОПРОМИСЛОВОГО РОЗВИТКУ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"49600 М.ДНІПРО, ЦЕНТРАЛЬНИЙ Р-Н, ВУЛ.СТАРОКОЗАЦЬКА, БУД. 52",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
66,03192141,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ АПОСТОЛІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53800 ДНІПРОПЕТРОВСЬКА ОБЛ., АПОСТОЛІВСЬКИЙ Р-Н, М.АПОСТОЛОВЕ, ВУЛ.ВИЗВОЛЕННЯ, БУД. 36",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
67,03192218,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ПОКРОВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53600 ДНІПРОПЕТРОВСЬКА ОБЛ., ПОКРОВСЬКИЙ Р-Н, СМТ ПОКРОВСЬКЕ, ВУЛ.СОБОРНА, БУД. 106",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
68,03192307,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ СОФІЇВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53100 ДНІПРОПЕТРОВСЬКА ОБЛ., СОФІЇВСЬКИЙ Р-Н, СМТ СОФІЇВКА, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 58",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
69,25927361,АРХІВНИЙ ВІДДІЛ П'ЯТИХАТСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"52100 ДНІПРОПЕТРОВСЬКА ОБЛ., П'ЯТИХАТСЬКИЙ Р-Н, М.П'ЯТИХАТКИ, ВУЛ.МІРОШНИЧЕНКА, БУД. 107",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
70,00730431,ВІДДІЛ АГРОПРОМИСЛОВОГО РОЗВИТКУ ПЕТРОПАВЛІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"52700 ДНІПРОПЕТРОВСЬКА ОБЛ., ПЕТРОПАВЛІВСЬКИЙ Р-Н, СМТ ПЕТРОПАВЛІВКА, ВУЛ.ГЕРОЇВ УКРАЇНИ, БУД. 62",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
71,04052407,ТОМАКІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"53500 ДНІПРОПЕТРОВСЬКА ОБЛ., ТОМАКІВСЬКИЙ Р-Н, СМТ ТОМАКІВКА, ВУЛ.ЛЕСІ УКРАЇНКИ, БУД. 14",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
72,04052399,СОФІЇВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"53100 ДНІПРОПЕТРОВСЬКА ОБЛ., СОФІЇВСЬКИЙ Р-Н, СМТ СОФІЇВКА, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 58",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
73,33769685,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МІСТОБУДІВНИЙ КАДАСТР""","49000 М.ДНІПРО, ЦЕНТРАЛЬНИЙ Р-Н, ПРОСП.КІРОВА, БУД. 2",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
74,04052366,П'ЯТИХАТСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,"52100 ДНІПРОПЕТРОВСЬКА ОБЛ., П'ЯТИХАТСЬКИЙ Р-Н, М.П'ЯТИХАТКИ, ВУЛ.САДОВА, БУД. 104",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,3
75,04052270,КРИВОРІЗЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,"53032 ДНІПРОПЕТРОВСЬКА ОБЛ., КРИВОРІЗЬКИЙ Р-Н, С.ВІЛЬНЕ, ВУЛ.МЕЛІОРАТИВНА, БУД. 1А",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,12
76,04052264,ДНІПРОВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,"52005 ДНІПРОПЕТРОВСЬКА ОБЛ., ДНІПРОВСЬКИЙ Р-Н, СМТ СЛОБОЖАНСЬКЕ, ВУЛ.ТЕПЛИЧНА, БУД. 5",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
77,38598277,ДЕПАРТАМЕНТ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА ТА БУДІВНИЦТВА ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"49004 М.ДНІПРО, ЦЕНТРАЛЬНИЙ Р-Н, ПРОСПЕКТ ОЛЕКСАНДРА ПОЛЯ, БУД. 2",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,871
78,25914209,АРХІВНИЙ СЕКТОР АПОСТОЛІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53800 ДНІПРОПЕТРОВСЬКА ОБЛ., АПОСТОЛІВСЬКИЙ Р-Н, М.АПОСТОЛОВЕ, ВУЛ.ЦЕНТРАЛЬНА, БУД. 65",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
79,00191017,"ДЕРЖАВНЕ ПРОМИСЛОВЕ ПІДПРИЄМСТВО ""КРИВБАСПРОМВОДОПОСТАЧАННЯ""","50069 ДНІПРОПЕТРОВСЬКА ОБЛ., М.КРИВИЙ РІГ, САКСАГАНСЬКИЙ Р-Н, ПРОСПЕКТ МИРУ, БУД. 15А",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,914
80,00730477,ВІДДІЛ АГРОПРОМИСЛОВОГО РОЗВИТКУ ТА МАЙНОВИХ ПРАВ ШИРОКІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"53700 ДНІПРОПЕТРОВСЬКА ОБЛ., ШИРОКІВСЬКИЙ Р-Н, СМТ ШИРОКЕ, ВУЛ.СОБОРНА, БУД. 115",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,19
81,35055603,СЛУЖБА У СПРАВАХ ДІТЕЙ КРИНИЧАНСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"52300 ДНІПРОПЕТРОВСЬКА ОБЛ., КРИНИЧАНСЬКИЙ Р-Н, СМТ КРИНИЧКИ, ВУЛ.ЦЕНТРАЛЬНА, БУД. 10",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
82,00730744,УПРАВЛІННЯ АГРОПРОМИСЛОВОГО РОЗВИТКУ ШАХТАРСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"86200 ДОНЕЦЬКА ОБЛ., М.ШАХТАРСЬК, ВУЛ.КРУПСЬКОЇ, БУД. 1 А",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
83,42791826,УПРАВЛІННЯ ФІЗИЧНОЇ КУЛЬТУРИ ТА СПОРТУ ДОНЕЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"84313 ДОНЕЦЬКА ОБЛ., М.КРАМАТОРСЬК, БУЛ.МАШИНОБУДІВНИКІВ, БУД. 23",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
84,00183704,"ВІДДІЛ КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ ЯСИНУВАТСЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ","86020 ДОНЕЦЬКА ОБЛ., ЯСИНУВАТСЬКИЙ Р-Н, СМТ ОЧЕРЕТИНЕ, ВУЛ.ЗАВОДСЬКА, БУД. 2",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
85,02142767,ВІДДІЛ ОСВІТИ ЯСИНУВАТСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"86020 ДОНЕЦЬКА ОБЛ., ЯСИНУВАТСЬКИЙ Р-Н, СМТ ОЧЕРЕТИНЕ, ВУЛ.НАБЕРЕЖНА, БУД. 12",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
86,38144140,ДЕПАРТАМЕНТ РОЗВИТКУ БАЗОВИХ ГАЛУЗЕЙ ПРОМИСЛОВОСТІ ДОНЕЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"84306 ДОНЕЦЬКА ОБЛ., М.КРАМАТОРСЬК, ВУЛ.ОЛЕКСИ ТИХОГО, БУД. 6",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,791
87,00191106,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАКІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД""","85307 ДОНЕЦЬКА ОБЛ., М.ПОКРОВСЬК, МКР-Н ШАХТАРСЬКИЙ, БУД. 7А",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,13
88,00183561,"ВІДДІЛ КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ КОСТЯНТИНІВСЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ","85132 ДОНЕЦЬКА ОБЛ., КОСТЯНТИНІВСЬКИЙ Р-Н, С.МАРКОВЕ, ВУЛ.МОЛОДОГВАРДІЙЦІВ, БУД. 30",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,3
89,00194317,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРЦИНК""","85102 ДОНЕЦЬКА ОБЛ., М.КОСТЯНТИНІВКА, ВУЛ.БОГДАНА ХМЕЛЬНИЦЬКОГО, БУД. 1",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
90,04011710,ВІДДІЛ КАПІТАЛЬНОГО БУДІВНИЦТВА ВОЛНОВАСЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ,"85700 ДОНЕЦЬКА ОБЛ., ВОЛНОВАСЬКИЙ Р-Н, М.ВОЛНОВАХА, ВУЛ.ЛЕНІНА, БУД. 23-А",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
91,05420741,ОЛЕКСАНДРІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"84000 ДОНЕЦЬКА ОБЛ., ОЛЕКСАНДРІВСЬКИЙ Р-Н, СМТ ОЛЕКСАНДРІВКА, ВУЛ.САМАРСЬКА, БУД. 27",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,2
92,26020170,УПРАВЛІННЯ ПРАЦІ ТА СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ АМВРОСІЇВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"87300 ДОНЕЦЬКА ОБЛ., АМВРОСІЇВСЬКИЙ Р-Н, М.АМВРОСІЇВКА, ВУЛ.ЗАВОДСЬКА, БУД. 4",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,7
93,00730715,УПРАВЛІННЯ АГРОПРОМИСЛОВОГО РОЗВИТКУ ЯСИНУВАТСЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ,"86020 ДОНЕЦЬКА ОБЛ., ЯСИНУВАТСЬКИЙ Р-Н, СМТ ОЧЕРЕТИНЕ, ВУЛ.ЗАВОДСЬКА, БУД. 1",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
94,00730649,"УПРАВЛІННЯ РОЗВИТКУ СІЛЬСЬКОЇ МІСЦЕВОСТІ, ВПРОВАДЖЕННЯ РЕФОРМ ТА АГРОПРОМИСЛОВОГО КОМПЛЕКСУ РАЙДЕРЖАДМІНІСТРАЦІЇ","85700 ДОНЕЦЬКА ОБЛ., ВОЛНОВАСЬКИЙ Р-Н, М.ВОЛНОВАХА, ВУЛ.ЦЕНТРАЛЬНА, БУД. 11А",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
95,05419755,СТАРОБЕШІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"85700 ДОНЕЦЬКА ОБЛ., ВОЛНОВАСЬКИЙ Р-Н, М.ВОЛНОВАХА, ВУЛ.1 ТРАВНЯ, БУД. 1",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,3
96,03494586,ДЕРЖАВНИЙ АРХІВ ДОНЕЦЬКОЇ ОБЛАСТІ,"85113 ДОНЕЦЬКА ОБЛ., М.КОСТЯНТИНІВКА, ВУЛ.ГРОМОВА, БУД. 34А",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,5
97,05419867,ВЕЛИКОНОВОСІЛКІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ДОНЕЦЬКОЇ ОБЛАСТІ,"85500 ДОНЕЦЬКА ОБЛ., ВЕЛИКОНОВОСІЛКІВСЬКИЙ Р-Н, СМТ ВЕЛИКА НОВОСІЛКА, ВУЛ.ЦЕНТРАЛЬНА, БУД. 34",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
98,00191767,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КІНДРАТІВСЬКИЙ ВОГНЕТРИВКИЙ ЗАВОД""","49001 М.ЗАПОРІЖЖЯ, ВОЗНЕСЕНІВСЬКИЙ Р-Н, ВУЛ.ПЕРЕМОГИ, БУД. 2",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,3
99,00176650,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДОНЕЦЬКИЙ ЕКСПЕРИМЕНТАЛЬНИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""","83023 М.ДОНЕЦЬК, КАЛІНІНСЬКИЙ Р-Н, ПРОСП.ПАВШИХ КОМУНАРІВ, БУД. 104",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,2
100,36443329,"ДЕПАРТАМЕНТ З ПИТАНЬ ЦИВІЛЬНОГО ЗАХИСТУ, МОБІЛІЗАЦІЙНОЇ ТА ОБОРОННОЇ РОБОТИ ДОНЕЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","84333 ДОНЕЦЬКА ОБЛ., М.КРАМАТОРСЬК, ВУЛ.АКАДЕМІЧНА, БУД. 11",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,24
101,03197227,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ВОЛНОВАСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"85700 ДОНЕЦЬКА ОБЛ., ВОЛНОВАСЬКИЙ Р-Н, М.ВОЛНОВАХА, ВУЛ.ГАГАРІНА, БУД. 36",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
102,32943675,АМВРОСІЇВСЬКИЙ РАЙОННИЙ ТЕРИТОРІАЛЬНИЙ ЦЕНТР СОЦІАЛЬНОГО ОБСЛУГОВУВАННЯ ТА НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ,"87301 ДОНЕЦЬКА ОБЛ., АМВРОСІЇВСЬКИЙ Р-Н, М.АМВРОСІЇВКА, ВУЛ.ПАРИЗЬКОЇ КОМУНИ",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,3
103,00191141,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" КОСТЯНТИНІВСЬКИЙ МЕТАЛУРГІЙНИЙ ЗАВОД ""","85101 ДОНЕЦЬКА ОБЛ., М.КОСТЯНТИНІВКА, ВУЛ.ЛЕНІНА, БУД. 172",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,1
104,00165758,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ГОРЛІВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""","84603 ДОНЕЦЬКА ОБЛ., М.ГОРЛІВКА, ЦЕНТРАЛЬНО-МІСЬКИЙ Р-Н, ВУЛ.КАТЕРИНИЧА, БУД. 1",0100514,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДОНЕЦЬКІЙ ОБЛАСТІ ,7
105,13577913,УПРАВЛІННЯ ПРАЦІ ТА СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ БРУСИЛІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"12601 ЖИТОМИРСЬКА ОБЛ., БРУСИЛІВСЬКИЙ Р-Н, СМТ БРУСИЛІВ, ВУЛ.ЛЕРМОНТОВА, БУД. 9",0100518,МІСЦЕВІ ДЕРЖАВНІ  АДМІНІСТРАЦІЇ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,1
106,04053654,НОВОГРАД-ВОЛИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЖИТОМИРСЬКОЇ ОБЛАСТІ,"11701 ЖИТОМИРСЬКА ОБЛ., М.НОВОГРАД-ВОЛИНСЬКИЙ, ВУЛ.ШЕВЧЕНКА, БУД. 16",0100518,МІСЦЕВІ ДЕРЖАВНІ  АДМІНІСТРАЦІЇ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,25
107,04053559,МАЛИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЖИТОМИРСЬКОЇ ОБЛАСТІ,"11601 ЖИТОМИРСЬКА ОБЛ., М.МАЛИН, ПЛОЩА СОБОРНА, БУД. 6А",0100518,МІСЦЕВІ ДЕРЖАВНІ  АДМІНІСТРАЦІЇ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,4
108,00278735,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАЛИНСЬКА ПАПЕРОВА ФАБРИКА-ВАЙДМАНН""","11602 ЖИТОМИРСЬКА ОБЛ., М.МАЛИН, ВУЛ.ПРИХОДЬКА, БУД. 66",0100518,МІСЦЕВІ ДЕРЖАВНІ  АДМІНІСТРАЦІЇ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,1
109,02740787,"СЕКТОР ЕКОЛОГІЇ, ПРИРОДНИХ РЕСУРСІВ, ЕНЕРГЕТИКИ ТА ЦИВІЛЬНОГО ЗАХИСТУ ЄМІЛЬЧИНСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ЖИТОМИРСЬКОЇ ОБЛАСТІ","11201 ЖИТОМИРСЬКА ОБЛ., ЄМІЛЬЧИНСЬКИЙ Р-Н, СМТ ЄМІЛЬЧИНЕ, ВУЛ.СОБОРНА, БУД. 18",0100518,МІСЦЕВІ ДЕРЖАВНІ  АДМІНІСТРАЦІЇ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,1
