№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
47,21758586,ТРОЇЦЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЛУГАНСЬКОЇ ОБЛАСТІ,"92100 ЛУГАНСЬКА ОБЛ., ТРОЇЦЬКИЙ Р-Н, СМТ ТРОЇЦЬКЕ, ПРОСПЕКТ ПЕРЕМОГИ, БУД. 60",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,6
48,04052034,БІЛОКУРАКИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"92200 ЛУГАНСЬКА ОБЛ., БІЛОКУРАКИНСЬКИЙ Р-Н, СМТ БІЛОКУРАКИНЕ, ПЛОЩА ШЕВЧЕНКА, БУД. 6",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,2
49,04051556,МАРКІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЛУГАНСЬКОЇ ОБЛАСТІ,"92400 ЛУГАНСЬКА ОБЛ., МАРКІВСЬКИЙ Р-Н, СМТ МАРКІВКА, ВУЛ.ЦЕНТРАЛЬНА, БУД. 18",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,3
50,24847758,ПЕРЕВАЛЬСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"93500 ЛУГАНСЬКА ОБЛ., НОВОАЙДАРСЬКИЙ Р-Н, СМТ НОВОАЙДАР, ВУЛ.БАНКІВСЬКА, БУД. 31",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,1
51,20189376,МІЛОВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЛУГАНСЬКОЇ ОБЛАСТІ,"92500 ЛУГАНСЬКА ОБЛ., МІЛОВСЬКИЙ Р-Н, СМТ МІЛОВЕ, ВУЛ.МИРУ, 40",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,6
52,04051543,ЛУТУГИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"92300 ЛУГАНСЬКА ОБЛ., НОВОПСКОВСЬКИЙ Р-Н, СМТ НОВОПСКОВ, ПРОВ.КІРОВА, БУД. 1",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,1
53,02142000,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ БІЛОКУРАКИНСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","92200 ЛУГАНСЬКА ОБЛ., БІЛОКУРАКИНСЬКИЙ Р-Н, СМТ БІЛОКУРАКИНЕ, ВУЛ.ПАРКОВА, БУД. 33",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,1
54,30838090,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНВЕСТИЦІЙНО-ІННОВАЦІЙНИЙ ЦЕНТР""","49038 М.ДНІПРО, ЦЕНТРАЛЬНИЙ Р-Н, ВУЛ.МОСТОВА, БУД. 3",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,3
55,02142537,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ СИНЕЛЬНИКІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","52500 ДНІПРОПЕТРОВСЬКА ОБЛ., М.СИНЕЛЬНИКОВЕ, ВУЛ.САДОВА, БУД. 2-Г",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,1
56,04011650,ДЕПАРТАМЕНТ КАПІТАЛЬНОГО БУДІВНИЦТВА ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"49000 М.ДНІПРО, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.СТАРОКОЗАЦЬКА, БУД. 34",0100512,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,2
