№ з/п,Орган управління,,Балансоутримувач,,,,,"Інформація щодо потенційного об""єкта оренди",,,,,,,,,,
,Код,Назва,Код за ЄДРПОУ,Назва,Юридична адреса,Контактний телефон,Регіон,Назва,Місцезнаходження,"Код класифікатора об""єкта адміністративно-територіального устрою України",Пропозиції щодо використання,Характеристика,"Площа, кв.м",,,,,
2240,11084,Міністерство освіти і науки України ,22769675,Подільський державний аграрно-технічний університет,"Хмельницька область,місто Кам'янець-Подільський,вулиця Шевченка,13",(03849) 9-04-99,26,Гараж Снятинського коледжу ПДАТУ,"Івано-Франківська область,місто Снятин,вулиця Гоголя,58г",2625210100,Для зберігання сільськогосподарської техніки,Приміщення обладнане освітленням.Потребує ремонту.,"360,4",,,,,
2241,11084,Міністерство освіти і науки України ,22769675,Подільський державний аграрно-технічний університет,"Хмельницька область,місто Кам'янець-Подільський,вулиця Шевченка,13",(03849) 9-04-99,26,Їдальня Снятинського коледжу ПДАТУ,"Івано-Франківська область,місто Снятин,вулиця Гоголя,58г",2625210100,Для громадського харчування,Приміщення обладнане освітленням.Потребує ремонту.,"128,7",,,,,
2242,11084,Міністерство освіти і науки України ,22769675,Подільський державний аграрно-технічний університет,"Хмельницька область,місто Кам'янець-Подільський,вулиця Шевченка,13",(03849) 9-04-99,26,Гуртожиток-контора Снятинського коледжу ПДАТУ,"Івано-Франківська область,місто Снятин,вулиця Гоголя,58г",2625210100,Використання під складське приміщення,Приміщення обладнане освітленням. Є постачання природнього газу.Потребує ремонту.,"87,2",,,,,
2243,17294,Міністерство юстиції України,8563613,"Державна установа ""Коломийська виправна колонія (№ 41)""","Івано-Франківська обл., Коломийський р-н, с. Товмачик,  вул. Привокзальна, 30",(03433) 91-2-22,26,малосімейний гуртожиток,"Івано-Франківська обл., Коломийський р-н, с. Товмачик,  вул. Привокзальна, 30",2623287200,"використання під адміністративну будівлю, офіс, торгову точку","Одноповерхова будівля із підвальним приміщенням (22.4 м.кв.), наявність водопроводу,електрофікація, дахове покриття потребує ремонту.","308,1",,,,,
2244,17294,Міністерство юстиції України,8563613,"Державна установа ""Коломийська виправна колонія (№ 41)""","Івано-Франківська обл., Коломийський р-н, с. Товмачик,  вул. Привокзальна, 30",(03433) 91-2-22,26,гуртожиток,"Івано-Франківська обл., Коломийський р-н, с. Товмачик,  вул. Привокзальна, 30",2623287200,"використання під адміністративну будівлю, офіс, житлове приміщення","Двохповерхова будівля, наявність водопроводу, електрофікація, можливість приєднання до газопостачанння.",198,,,,,
2245,28954,Державна служба статистики України,02360599,Головне управління статистики в Івано-Франківській області,"76018, м. Івано-Франківськ,                 вул. Василіянок, 6",(0342) 79-20-77,26,"кімнати на 1-му поверсі адмінбудівлі: №1,4,7,8,9,10,11,12,24,25; 2,3,5,6,13,14-19, 20 (1/2),23","м. Івано-Франківськ, вул. Василіянок, 6",2610100000,розміщення кафе або офісу,"чотириповерхова будівля, є в наявності опалення, електропостачання, водовідведення та телефонний зв'язок, потребує поточного ремонту , має окремий вхід з вулиці","276,6",,,,,
2246,28954,Державна служба статистики України,02360599,Головне управління статистики в Івано-Франківській області,"76018, м. Івано-Франківськ,                вул. Василіянок, 6",(0342) 79-20-77,26,підвальне приміщення адмінбудівлі," м. Івано-Франківськ, вул. Василіянок, 6",2610100000,"під склад, виробництво","підвальне приміщення семиповерхової будівлі, потребує поточного ремонту,                                                                                                                                                                                                                                                                                                                       є електропостачання ","166,5",,,,,
2247,100526,Івано-Франківська обласна державна адміністрація,33426782,Управління облдержадміністрації з питань ресурсного забезпечення,"м. Івано-Франківськ вул. Грушевського, 21",(0342)                       552230,26,"Підземна фортифікаційна споруда Військового містечка в   с.Грабівка

","Івано-Франківська обл.,
Богородчанський р-н 
с. Лесівка,
вул Л. Українки,130
",2620486803,"як варіант, використати під полігон  для тактичних та інших навчань військовослужбовців                                                   ","Майновий комплекс військового призначення, Будівлі та-споруди розміщені у лісовому масиві. Дорога 2,5 км - залізобетонні дорожні плити. Будівлі та споруди знаходяться у незадовільному стані. Комунікації відсутні. Технічний паспорт та свідоцтво на право власності відсутнє. Виготовлення потребує великих затрат.","2501,3",,,,,
2248,100526,Івано-Франківська обласна державна адміністрація,33426782,Управління облдержадміністрації з питань ресурсного забезпечення,"м. Івано-Франківськ вул. Грушевського, 21",(0342)                       552230,26,"Адміністративно господарський комплекс Військового містечка в   с.Грабівка
",Івано-Франківська область Калуський р-н с. Грабівка,2622882802,"як варіант, використати під полігон  для тактичних та інших навчань військовослужбовців                                                   ","Майновий комплекс військового призначення. Будівлі та-споруди розміщені у лісовому масиві. Дорога 2,5 км - залізобетонні дорожні плити. Будівлі та споруди знаходяться у незадовільному стані. Комунікації відсутні. Технічний паспорт та свідоцтво на право власності відсутнє. Виготовлення потребує великих затрат.","4089,3",,,,,
2249,71224,Державна судова адміністрація України,26278626,Територіальне управління ДСА України в Івано-Франківській області  ,"76018, м. Івано-Франківськ, вул. Грюнвальдська, 11   ",(0342)                 77-88-00,26,будівля,"І-Франківська обл, м. Долина, пров. Антоговича, 4",2622010100,Офісні приміщення,"3 поверхова будівля. Опалення, електропостачання, водопостачання, телефонний зв'язок в наявності (відключено). Будівлі потребує капітального  ремонту","1615,5",,,,,
2250,34604,Державне агентство резерву України,00276044,"Український державний науково-дослідний інститут ""Ресурс""","03150, м.Київ, вул.Казимира Малевича, 84",(044)      529-60-56,30,Кімнати,"03150, м.Київ, вул.Казимира Малевича, 84",8036100000,"*Із площ можливих для оренди,  попередньо узгоджена оренда -167,0 кв.м. (конкурс)",Кімнати знаходяться на 1-му поверсі трьохповерхової будівлі. Наявне електро та водопостачання. Потужність електропостачання достатня тільки  для освітлення приміщень. Приміщення не опалюються. Приміщення потребують косметичного та  капітального ремонту.,"462,9",,,,,
2251,38094,Державне агентство водних ресурсів України,1033987,Бортницьке міжрайонне управління водного господарства ім. Гаркуші М.А. ,"08351,
Київська обл.
Бориспільський р-н
с. Рогозів
вул. Воровського,1
",(044)    563-12-37,30, Відомча будівля,"02088, м. Київ, вул. Є. Харченка, 34",8036400000,"розміщення 
офісних, складських приміщень","одноповерхова 
неопалювальна 
будівля, потребує поточного
ремонту","136,1",,,,,
2252,38094,Державне агентство водних ресурсів України,1033987,Бортницьке міжрайонне управління водного господарства ім. Гаркуші М.А. ,"08351,
Київська обл.
Бориспільський р-н
с. Рогозів
вул. Воровського,1
",(044)    563-12-37,30,"Будівля РММ
(підвальне приміщення)","02088, м. Київ, вул. Є. Харченка, 34",8036400000,розміщення складських приміщень,"Неопалювальна будівля, потребує поточного ремонту","64,4",,,,,
2253,38094,Державне агентство водних ресурсів України,1033987,Бортницьке міжрайонне управління водного господарства ім. Гаркуші М.А. ,"08351,
Київська обл.
Бориспільський р-н
с. Рогозів
вул. Воровського,1
",(044)    563-12-37,30,Будівля гаража у дворі управління,"02088, м. Київ, вул. Є. Харченка, 34",8036400000,розміщення складських приміщень,"Неопалювальна будівля, потребує поточного ремонту","15,6",,,,,
2254,38094,Державне агентство водних ресурсів України,1033987,Бортницьке міжрайонне управління водного господарства ім. Гаркуші М.А. ,"08351,
Київська обл.
Бориспільський р-н
с. Рогозів
вул. Воровського,1
",(044)    563-12-37,30,Будівля складу мастильних матеріалів,"02088, м. Київ, вул. Є. Харченка, 34",8036400000,розміщення складських приміщень,"Неопалювальна будівля, потребує поточного ремонту","154,9",,,,,
2255,38094,Державне агентство водних ресурсів України,32765831,"ДП"" Укрводсервіс""","03035, м. Киів, вул. Солом'янська, 1",503568779,30,Нежитлові приміщення адміністративної будівлі,"03035, м. Киів, вул. Солом'янська, 1",8039000000,"офісні приміщення на цокольному,другому , четвертому   та сьомому  поверхах,   ",Офісне приміщення ,298,,,,,
2256,21077,Державна служба геології та надр України ,01431989,"Технологічний центр обробки та інтерпретації геофізичних матеріалів Державного геофізичного підприємства ""Укргеофізика""","03057 м. Київ,       вул. Мірошниченко Євгенії, 10",(044) 456-91-00,30,окремі кімнати,"м. Київ, вул. Мірошниченко Євгенії, 10",8038000000,За призначенням,окремі кімнати,"35,50",,,,,
2257,21077,Державна служба геології та надр України ,01432032,Український державний геологорозвідувальний інститут,"04114, м. Київ, вул. Автозаводська, 78-а",(044) 206-35-70,30,частина даху будівлі,"м. Київ, вул. Автозаводська, 78-а",8038000000,розміщення технічних засобів та антен,,"18,00",,,,,
2258,21077,Державна служба геології та надр України ,01432032,Український державний геологорозвідувальний інститут,"04114, м. Київ, вул. Автозаводська, 78-а",(044) 206-35-70,30,частина даху будівлі,"м. Київ, вул. Автозаводська, 78-а",8038000000,розміщення технічних засобів та антен,,"20,00",,,,,
2259,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Лабораторний корпус,"м.Київ, вул. М. Бойчука, 8/9",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне. Потребує ремонту.","1938,60",,,,,
2260,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля котельні,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","446,00",,,,,
2261,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Баня сауна,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","173,10",,,,,
2262,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля лікувального корпусу,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","760,00",,,,,
2263,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля складу,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","12,50",,,,,
2264,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля спального корпусо №2,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","760,00",,,,,
2265,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля спального корпусо №1,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","760,00",,,,,
2266,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля їдальні,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","980,00",,,,,
2267,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Каналізаційна станція,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","13,30",,,,,
2268,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Будівля головного корпусу,"м.Київ, вул. Алея 41 року",8039000000,За призначенням,"Стіни цегляні, перекриття залізобетонне, покрівля а/ц листове.","801,00",,,,,
2269,21077,Державна служба геології та надр України ,14308279,"Казенне підприємство ""Кіровгеологія""","01103, м.Київ, вул. М.Бойчука, 8/9",(044) 285-06-33,30,Овочесховище,"Київська обл.
Деснянський р-н
м.Київ, 
вул.Алея 41 року",8039000000,За призначенням,,"64,70",,,,,
2270,28604,"Державна служба України з питань геодезії, картографії та кадастру",19028917,"КДП ""Київгеоінформатика""","02660, м. Київ, вул.Попудренко, 
буд. 54",(044) 573-26-80,30,Виробничо-лабораторний комплекс,"02660, м. Київ, вул. Попудренко, буд. 54",8036400000,Розміщення офісу, В задовільному стані,"961,3 (Передачу майна в оренду Держгеокадастром погоджено листом від 01.08.2019 № 6553 )",,,,,
2271,28604,"Державна служба України з питань геодезії, картографії та кадастру",02571008,"ДП ""Укргеоінформ""","02094, м. Київ, вул.Попудренко, 
буд. 54",(044)2920200,30,Окремо виділені приміщення," м. Київ, вул. Попудренко, буд. 4",8036400000,під офіси,потребує поточного ремонту,"465,0",,,,,
2272,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №1,"м. Київ, вул. Гарматна, 2",8038900000,"Під виробництво, склад  та офіс","Виробничий корпус (4 поверхи); окремі приміщення від 18 до 80м², потребують ремонту","6583,7",,,,,
2273,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №2,"м. Київ, вул. Гарматна, 2",8038900000,"Під виробництво, склад  та офіс","ІІ поверх виробничого корпусу (двоповерхової  будівлі);окремі приміщення від 10 до 35м², потребують ремонту","350,35",,,,,
2274,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №3,"м. Київ, вул. Гарматна, 2",8038900000,Під офіс,"Корпус заводоуправління (І пов.);окремі приміщення від 7 до 25м², потребують ремонту","532,4",,,,,
2275,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №5 (їдальня),"м. Київ, вул. Гарматна, 2",8038900000,"Під виробництво, склад  та офіс","Їдальня (4 поверхи); окремі приміщення від 13 до 350м² (обідній зал),потрібен ремонт,  корпус не опалюється","2996,95",,,,,
2276,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-49,30,Корпус №6,"м. Київ, вул. Гарматна, 2",8038900000,Під склад  та офіс,"Поверхів 3; корпус не опалюється, низька стеля, потрібен ремонт",119,,,,,
2277,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-49,30,Корпус №7,"м. Київ, вул. Гарматна, 2",8038900000,Під офіс,"IV (верхній) поверх, не опалюється, потрібен ремонт",24,,,,,
2278,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-49,30,Корпус №8,"м. Київ, вул. Гарматна, 2",8038900000,Під склад  ,"Одноповерхова будівля, відм.+3,9м, не опалюється, потрібен ремонт",75,,,,,
2279,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №24,"м. Київ, вул. Гарматна, 2",8038900000,"Під виробництво, склад  та офіс","Виробничий корпус (5/9 поверхи); окремі приміщення від 18 до 72м², потрібен ремонт","8767,08",,,,,
2280,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус №27,"м. Київ, вул. Гарматна, 2",8038900000,Під виробництво та склад  ,"Виробничий корпус (1/2 поверхи);  корпус не опалюється, потрібен ремонт",247,,,,,
2281,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Склад  ДОК-12,"м. Київ, пр. Корольова, 1",8038900000,Під склад  ,2 ангари та частина ангару; не опалюються,852,,,,,
2282,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Корпус БЛК з прибудовою та склад,"м. Київ, пр. Корольова, 1",8038900000,Під склад  та офіс,"Поверхів 1/2; корпус не опалюється, потрібен ремонт","385,8",,,,,
2283,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Приміщення для пульта АЗС,"м. Київ, пр. Корольова, 1",8038900000,Під виробництво ,"Поверх 1, авр. Стан",28,,,,,
2284,30524,Державне космічне агентство України,14309669,"ДП ВО ""Київприлад""","м. Київ, вул. Гарматна, 2",456-38-48,30,Нежитловий будинок,"м. Київ, вул. Деснянська, 19 а",8038900000,Під офіс,"Поверхів-3, цегляна будівля","670,3",,,,,
2285,30524,Державне космічне агентство України,14310520,"ДП завод ""Арсенал""","01010, м. Київ,               вул. Московська, 8",253-13-14,30,"Корпус № 1, літ.""А"", частина 1 поверху та частина підвалу","м. Київ, вул. Московська,8",8039000000,"під офіс, склад","1-й пов. - 39 кв.м, підвальні прим. - 452,2 кв.м. Не має тепло- та водопостачання, потребує капітального ремонту ","491,2",,,,,
2286,30524,Державне космічне агентство України,14310520,"ДП завод ""Арсенал""","01010, м. Київ,               вул. Московська, 8",253-13-14,30,"Корпус № 1, літ.""А"", частина 3 поверху ","м. Київ, вул. Московська,8",8039000000,під офіс," тепло- та водопостачання є, потребує значного капітального ремонту ","2218,5",,,,,
2287,30524,Державне космічне агентство України,14310520,"ДП завод ""Арсенал""","01010, м. Київ,               вул. Московська, 8",253-13-14,30,"Корпус № 7, літ.""Ж""","м. Київ, вул.Бутлерова, 3",8039000000,Склади,"Одноповерхова будівля. Не має тепло- та водопостачання, потребує значного капітального ремонту ","1266,8",,,,,
2288,30524,Державне космічне агентство України,14307357,"КП СПБ ""Арсенал""","01010, м. Київ,  вул. Московська, 8",253-00-62,30,нежитлові приміщення,"м. Київ, вул. Московська,8,  корпус № 56",8039000000,Склади,"приміщення знаходиться у задовільному стані, опалення, електро- водо- постачання відсутнє","42,0",,,,,
2289,30524,Державне космічне агентство України,14307357,"КП СПБ ""Арсенал""","01010, м. Київ,  вул. Московська, 8",253-00-62,30,нежитлові приміщення,"м. Київ, вул. Московська,8,  корпус № 2",8039000000,офісні приміщення,"приміщення знаходиться у задовільному стані, опалення частково відсутнє","1598,4",,,,,
2290,30524,Державне космічне агентство України,14307357,"КП СПБ ""Арсенал""","01010, м. Київ,  вул. Московська, 8",253-00-62,30,нежитлові приміщення,"м. Київ, вул. Московська,8,  корпус № 17",8039000000,Склади,"металева арочна споруда у задовільному стані, опалення,  водопостачання відсутнє","492,0",,,,,
2291,30524,Державне космічне агентство України,14307357,"КП СПБ ""Арсенал""","01010, м. Київ,  вул. Московська, 8",253-00-62,30,нежитлові приміщення,"м. Київ, вул.Бутлерова,2, корпус № 3",8039000000,Під виробництво,"одноповерхова будівля у задовільному стані, опалення, водопостачання відсутнє","408,4",,,,,
2292,38194,Державне агентство рибного господарства України,00472609,"Державне підприємство ""Науковий селекційно - генетичний центр рибництва""","м. Київ, вул. Обухівська, 135,",050-313-76-20,30,Нежиле приміщення,"м. Київ, вул. Обухівська, 135,",8030000000,"будь-яка, крім, харчової, медичної, небезпечної діяльності","Потребує капітального ремонту, відсутнє опалення, водопостачання та водовідведення, електропостачання (2 поверх без ліфту)","26,8",,,,,
2293,38194,Державне агентство рибного господарства України,00472609,"Державне підприємство ""Науковий селекційно - генетичний центр рибництва""","м. Київ, вул. Обухівська, 135,",050-313-76-20,30,Нежиле приміщення,"м. Київ, вул. Обухівська, 135,",8030000000,"будь-яка, крім, харчової, медичної, небезпечної діяльності","Потребує капітального ремонту, відсутнє опалення, водопостачання та водовідведення, електропостачання (2 поверх без ліфту)","26,3",,,,,
2294,38194,Державне агентство рибного господарства України,00472609,"Державне підприємство ""Науковий селекційно - генетичний центр рибництва""","м. Київ, вул. Обухівська, 135,",050-313-76-20,30,Нежиле приміщення,"м. Київ, вул. Обухівська, 135,",8030000000,"будь-яка, крім, харчової, медичної, небезпечної діяльності","Потребує капітального ремонту, відсутнє опалення, водопостачання та водовідведення, електропостачання (2 поверх без ліфту)","26,9",,,,,
2295,38194,Державне агентство рибного господарства України,00472609,"Державне підприємство ""Науковий селекційно - генетичний центр рибництва""","м. Київ, вул. Обухівська, 135,",050-313-76-20,30,Нежиле приміщення,"м. Київ, вул. Обухівська, 135,",8030000000,"будь-яка, крім, харчової, медичної, небезпечної діяльності","Потребує капітального ремонту, відсутнє опалення, водопостачання та водовідведення, електропостачання (2 поверх без ліфту)","21,2",,,,,
2296,38194,Державне агентство рибного господарства України,00468177,"Державе підприємство ""Укррибпроект""","04050, м. Київ, вул. Тургенєвська, 82 а",044-486-68-08,30, складські приміщення підвальне приміщення,"04050, м. Київ, вул. Тургенєвська, 82 а",8039100000,складські приміщення. ,незадовільний,16,,,,,
2297,38194,Державне агентство рибного господарства України,00468177,"Державе підприємство ""Укррибпроект""","04050, м. Київ, вул. Тургенєвська, 82 а",044-486-68-08,30,офісні приміщення 1 пов,"04050, м. Київ, вул. Тургенєвська, 82 а",8039100000,офісні приміщення,стан задовільний,"26,9",,,,,
2298,38194,Державне агентство рибного господарства України,00468177,"Державе підприємство ""Укррибпроект""","04050, м. Київ, вул. Тургенєвська, 82 а",044-486-68-08,30,офісні приміщення 3 пов,"04050, м. Київ, вул. Тургенєвська, 82 а",8039100000,офісні приміщення,стан задовільний,"147,2",,,,,
2299,38194,Державне агентство рибного господарства України,00468177,"Державе підприємство ""Укррибпроект""","04050, м. Київ, вул. Тургенєвська, 82 а",044-486-68-08,30,офісні приміщення 5 пов,"04050, м. Київ, вул. Тургенєвська, 82 а",8039100000,офісні приміщення,стан задовільний,"100,3",,,,,
2300,38194,Державне агентство рибного господарства України,00468177,"Державе підприємство ""Укррибпроект""","04050, м. Київ, вул. Тургенєвська, 82 а",044-486-68-08,30,офісні приміщення 6 пов,"04050, м. Київ, вул. Тургенєвська, 82 а",8039100000,офісні приміщення,стан задовільний,"18,3",,,,,
2301,,Київська міська державна адміністрація,14307819,Державне науково- виробниче підприємство «Захід»,"бул. Вернадського,38,Киїа-142, 03680, МИС",444 240 308,30,Лабораторний корпус*,"03680, Київ-142, бул. Вернадського, 38, ",8038600000,"Промислове, логистика","Відсутні: опалювання, водопостачання каналізація. частково зруйнований дах. Потребує капітального ремонту.","3860,0",,,,,
2302,,Київська міська державна адміністрація,14307819,Державне науково- виробниче підприємство «Захід»,"бул. Вернадського. 38, Київ-142, 03680, МПС",444 240 308,30,Ділянка оснастки*,"03680, Київ-142, бул. Вернадського, 38, ",8038600000,"Промислове, логістика","Відсутні: опалювання, водопостачання каналізація, частково зруйнований дах Потребує ремонте.",950,,,,,
2303,,Київська міська державна адміністрація,14307819,Державне науково- виробниче підприємство «Захід»,"бул. Вернадського, 38, Київ-142. 03680, МПС",444 240 308,30,Адміністратимний корпус*,"03680, Київ-142, бул. Вернадського, 38, ",8038600000,Офісне приміщення,"Відсутні: опалювання, водопостачання каналізація. Потребує ремонте",240,,,,,
2304,,Київська міська державна адміністрація,14307819,Державне науково- виробниче підприємство «Захід»,"бул. Вернадського, 38,Київ-142. 03680,МПС",444 240 308,30,Блок допоміжних служб*,"03680, Київ-142, бул. Вернадського, 38, ",8038600000,"Промислове, офісне приміщення","Відсутні: опалювання, водопостачання каналізація, зруйнований дах. Потребує капітального ремонту. j",99,,,,,
2305,18354,Міністерство внутрішніх справ України,08735882,Центральний госпіталь МВС України,"м. Київ, вул. Бердичівська, 1",(044) 481-53-47,30,перший поверх триповерхового корпусу ЦВЛК,"м. Київ, вул. Бердичівська, 1",8039100000,стоматологічний науково-клінічний центр,стан задовільний,"12,20","8657 21.01.2020 (12,2 кв.м)",,,,
2306,18354,Міністерство внутрішніх справ України,08735882,Центральний госпіталь МВС України,"м. Київ, вул. Бердичівська, 1",(044) 481-53-47,30,перший поверх триповерхового корпусу ЦВЛК,"м. Київ, вул. Бердичівська, 1",8039100000,медична практика,стан задовільний,"126,50",,,,,
2307,18354,Міністерство внутрішніх справ України,08735882,Центральний госпіталь МВС України,"м. Київ, вул. Бердичівська, 1",(044) 481-53-47,30,перший поверх клініко-діагностичного корпусу ,"м. Київ, вул. Бердичівська, 1",8039100000,аптечний кіоск,стан задовільний,"25,80",,,,,
2308,18354,Міністерство внутрішніх справ України,08735882,Центральний госпіталь МВС України,"м. Київ, вул. Бердичівська, 1",(044) 481-53-47,30,перший поверх 7-ми поверхового лікувального корпусу з прибудовою,"м. Київ, вул. Бердичівська, 1",8039100000,аптечний кіоск,стан задовільний,"18,00",,,,,
2309,18354,Міністерство внутрішніх справ України,08733788,"Медичний реабілітаційний центр МВС України ""Хутір Вільний""","м. Київ, Дніпровське шосе, 3",(044) 259-35-60,30,"теплиця, будівля під літерою П","м. Київ, Дніпровське шосе, 3",8036100000,розміщення теплиці,"теплиця, будівля під літерою П","79,10",,,,,
2310,18354,Міністерство внутрішніх справ України,08733788,"Медичний реабілітаційний центр МВС України ""Хутір Вільний""","м. Київ, Дніпровське шосе, 3",(044) 259-35-60,30,"склад, будівля під літерою Х","м. Київ, Дніпровське шосе, 3",8036100000,складське приміщення,металевий склад без опалення,"161,60",,,,,
2311,18354,Міністерство внутрішніх справ України,08733788,"Медичний реабілітаційний центр МВС України ""Хутір Вільний""","м. Київ, Дніпровське шосе, 3",(044) 259-35-60,30,чотири окремих приміщення спального корпусу,"м. Київ, Дніпровське шосе, 3",8036100000,медична практика,стан задовільний,"106,70",,,,,
2312,11074    ,Міністерство енергетики та захисту довкілля  України,174125,"ДП ""Інститут ""УКРНДІПРОЕКТ""","03142, м. Київ, пр. Академіка Палладіна, 46/2, ",(044) 424-20-84,30, Лабораторний корпус №5 ,"м. Київ, проспект Академіка Палладіна, 46/2",8038600000, виробничі приміщення,"Одноповерхова будівля, є опалення, водовідведення, електропостачання, в будівлі знаходитяться: токарні станки, кран балка, оглядова яма, приміщення потребує капітального ремонту. Для виробничих приміщень, складів",341,,,,,
2313,11074    ,Міністерство енергетики та захисту довкілля  України,174125,"ДП ""Інститут ""УКРНДІПРОЕКТ""","03142, м. Київ, пр. Академіка Палладіна, 46/2, ",(044) 424-20-84,30, Лабораторний корпус № 2,"м. Київ, проспект Академіка Палладіна, 46/2",8038600000,офісні приміщення,"Триповерхова будівля, є опалення, електропостачання, водовідведення, телефонний зв’язок, проведений частковий ремонт камеральних приміщень",787,,,,,
2314,11074    ,Міністерство енергетики та захисту довкілля  України,2968177,"ДП ""Київторф""","02088, м. Київ, вул.Промислова,10",(044) 564-84-87,30,будинок мехмайстерні,"м. Київ, вул. Промислова, 10",8039000000,"Для розміщення  виробничого приміщення,  складу, гаража, тощо. "," Одноповерхова будівля, опалення відсутнє, електропостачання відсутнє, водопостачання та водовідведення відсутні, телефонний зв'язок відсутній, технічний стан об’єкта потребує покращення (протікає криша, цегла стін від води і морозів частково потріскалась)","30,9",,,,,
2315,11074    ,Міністерство енергетики та захисту довкілля  України,2968177,"ДП ""Київторф""","02088, м. Київ, вул.Промислова,10",(044) 564-84-87,30,Будинок з нежилими (вбудованими) приміщеннями,"м. Київ, вул. Промислова, 10",8039000000,"Для розміщення офісного приміщення, складу, тощо ","Двоповерхова будівля,  опалення відсутнє, електропостачання тільки для освітлення, водопостачання та водовідведення відсутні, є телефонний зв'язок, технічний стан об’єкта потребує покращення.","38,6",,,,,
